Name,year,esrp,genre,rate,vote,country,company
Kingdom Hearts HD 2.5 Remix,2014,20142014E10+E10+,ActionAdventureFamily,9.2,852,Japan,Square Enix Company
The Orange Box,2007,20072007MM,ActionAdventureComedy,9.2,691,United States,Valve
The Walking Dead: The Game - Season 1,2012,20122012MM,DramaHorrorSci-Fi,9.2,13K,United States,Telltale Games
Scarface: Money. Power. Respect.,2006,20062006MM,Action,9.2,81,United States,PlayStation Portable
GTAV,2013,20132013,ActionCrimeDrama,9.2,133,,Rockstar New York
Fire Pro Wrestling World,2017,20172017,Action,9.2,5,Japan,
The Great Ace Attorney 2: Resolve,2017,20172017,,9.2,47,Japan,Capcom Company
Disco Elysium - The Final Cut,2021,20212021MM,ComedyCrimeDrama,9.2,332,United Kingdom,
It Takes Two,2021,20212021TT,AdventureComedyDrama,9.2,2.1K,Sweden,Hazelight Studios
Omori,2020,20202020MM,AdventureDramaFantasy,9.2,358,,
Persona 4,2008,20082008MM,ActionAdventureFantasy,9.2,1K,Japan,Atlus
Rain World,2017,20172017E10+E10+,ActionAdventureFantasy,9.2,12,United States,Videocult
Batman: Arkham Asylum,2009,20092009TT,ActionAdventureCrime,9.2,27K,United Kingdom,DC Comics
Horizon: Forbidden West,2022,20222022TT,ActionAdventureMystery,9.2,2.7K,Netherlands,Guerrilla Games
Phoenix Wright: Ace Attorney Trilogy,2019,20192019TT,AdventureComedyCrime,9.2,102,Japan,Capcom Company
Battle Through the Heavens,2018,20182018,,9.2,25,China,Tencent Games
Hoko no yuusha no nariagari: Relive the Animation,2019,20192019,Adventure,9.2,6,Japan,
Trogdor!,2003,20032003,ActionComedyFantasy,9.2,6,United States,Videlectrix
Mass Effect,2007,20072007MM,ActionAdventureDrama,9.2,18K,United States,Bioware
God of War II,2007,20072007MM,ActionAdventureFantasy,9.2,9K,United States,SCEA Santa Monica Studios
Biohazard 4,2005,20052005MM,ActionAdventureFantasy,9.2,13K,Japan,Armature Studio
Mafia: The City of Lost Heaven,2002,20022002MM,ActionCrimeDrama,9.2,5.9K,Czech Republic,Illusion Softworks
Kingdom Hearts,2002,20022002EE,ActionAdventureFamily,9.2,7.3K,Japan,Disney Interactive Japan
Grand Theft Auto: Vice City,2002,20022002MM,ActionCrimeDrama,9.2,26K,United Kingdom,Rockstar North
Metal Gear Solid: Integral,1999,19991999,ActionAdventureDrama,9.2,359,Japan,Konami Computer Entertainment
Max Payne,2001,20012001MM,ActionCrimeDrama,9.2,15K,Finland,Remedy Entertainment
Deus Ex,2000,20002000MM,ActionAdventureDrama,9.2,3.2K,United States,Eidos Interactive
Akumajo Dracula X: Gekka no Yasokyoku,1997,19971997TT,ActionAdventureFantasy,9.2,1.6K,Japan,Konami Computer Entertainment
Super Mario Bros. 3,1988,19881988,ActionAdventureFamily,9.2,5.2K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Half-Life,1998,19981998MM,ActionSci-FiThriller,9.2,10K,United States,Valve
Super Mario World,1990,19901990EE,ActionAdventureFamily,9.2,4.8K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
StarCraft,1998,19981998TT,ActionAdventureSci-Fi,9.2,5.2K,United States,Blizzard Entertainment
Grim Fandango,1998,19981998TT,AdventureComedyCrime,9.2,3.5K,United States,LucasArts Entertainment Company
Fallout: A Post-Nuclear Role-Playing Game,1997,19971997MM,ActionAdventureSci-Fi,9.2,3.8K,United States,Interplay Entertainment
Growlanser VI: Precarious World,2007,20072007,Adventure,9.1,18,Japan,Career Soft
Astro Bot: Rescue Mission,2018,20182018E10+E10+,Sci-Fi,9.1,195,Japan,SIE Japan Studio
Higurashi: When They Cry,2002,20022002,DramaHorrorMystery,9.1,66,Japan,
Resident Evil 2,2019,20192019MM,ActionHorrorSci-Fi,9.1,6.9K,Japan,Capcom Company
Umineko When They Cry Chiru,2009,20092009,FantasyHorrorMystery,9.1,75,Japan,07th Expansion
Super Mario Odyssey,2017,20172017E10+E10+,AnimationActionAdventure,9.1,4K,Japan,Nintendo Entertainment Planning & Development (EPD)
Final Fantasy VII Remake,2020,20202020TT,ActionAdventureFantasy,9.1,3.6K,Japan,Square Enix Company
Dark Souls III,2016,20162016MM,ActionAdventureFantasy,9.1,4.3K,Japan,From Software
Mob of the Dead,2013,20132013,ActionHorrorThriller,9.1,852,United States,Activision
Dark Souls,2011,20112011MM,ActionAdventureFantasy,9.1,4.7K,Japan,From Software
Super Mario World: Super Mario Advance 2,2001,20012001EE,ActionAdventureFamily,9.1,9,Japan,Nintendo
Mass Effect 3,2012,20122012MM,ActionAdventureSci-Fi,9.1,15K,Canada,Bioware
BioShock Infinite,2013,20132013MM,ActionAdventureDrama,9.1,20K,United States,Irrational Games
Dragon Age: Origins,2009,20092009MM,ActionAdventureFantasy,9.1,7.9K,Canada,Bioware
Soul Knight,2017,20172017E10+E10+,AdventureActionFantasy,9.1,11,United States,ChillyRoom
Toraianguru sutoratejî,2022,20222022TT,ActionAdventureFantasy,9.1,52,Japan,Artdink
