Name,year,Esrp,Genre,rate,vote,country,company,Global_Sales
Super Mario Bros. 3,1988,Not Rated,Family,9.2,5000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),8.08
Half-Life,1998,Mature,Thriller,9.2,10000,United States,Valve,8.05
Super Mario World,1990,Everyone,Family,9.2,4000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),8.01
StarCraft,1998,Teen,Sci-Fi,9.2,5000,United States,Blizzard Entertainment,7.99
Grim Fandango,1998,Teen,Crime,9.2,3000,United States,LucasArts Entertainment Company,7.86
Fallout: A Post-Nuclear Role-Playing Game,1997,Mature,Sci-Fi,9.2,3000,United States,Interplay Entertainment,7.81
Growlanser VI: Precarious World,2007,Not Rated,Adventure,9.1,18,Japan,Career Soft,7.72
Astro Bot: Rescue Mission,2018,Everyone10+,Sci-Fi,9.1,195,Japan,SIE Japan Studio,7.69
Higurashi: When They Cry,2002,Not Rated,Mystery,9.1,66,Japan,Unknown,7.68
Resident Evil 2,2019,Mature,Sci-Fi,9.1,6000,Japan,Capcom Company,7.62
Umineko When They Cry Chiru,2009,Not Rated,Mystery,9.1,75,Japan,07th Expansion,7.6
Super Mario Odyssey,2017,Everyone10+,Adventure,9.1,4000,Japan,Nintendo Entertainment Planning & Development (EPD),7.58
Final Fantasy VII Remake,2020,Teen,Fantasy,9.1,3000,Japan,Square Enix Company,7.54
Dark Souls III,2016,Mature,Fantasy,9.1,4000,Japan,From Software,7.46
Mob of the Dead,2013,Not Rated,Thriller,9.1,852,United States,Activision,7.44
Dark Souls,2011,Mature,Fantasy,9.1,4000,Japan,From Software,7.42
Super Mario World: Super Mario Advance 2,2001,Everyone,Family,9.1,9,Japan,Nintendo,7.41
Mass Effect 3,2012,Mature,Sci-Fi,9.1,15000,Canada,Bioware,7.33
BioShock Infinite,2013,Mature,Drama,9.1,20000,United States,Irrational Games,7.28
Dragon Age: Origins,2009,Mature,Fantasy,9.1,7000,Canada,Bioware,7.23
Soul Knight,2017,Everyone10+,Fantasy,9.1,11,United States,ChillyRoom,7.2
Toraianguru sutoratejî,2022,Teen,Fantasy,9.1,52,Japan,Artdink,7.2
Dark Souls: Artorias of the Abyss,2012,Not Rated,Fantasy,9.1,347,Japan,From Software,7.18
Bioshock: The Collection,2016,Mature,Horror,9.1,408,United States,Unknown,7.16
Metal Gear Solid: HD Collection,2011,Not Rated,War,9.1,65,United States,Bluepoint Games,7.16
Assassin's Creed II,2009,Mature,History,9.1,23000,Canada,Ubisoft Montreal,7.13
God of War III,2010,Mature,Fantasy,9.1,10000,United States,SCEA Santa Monica Studios,7.07
Portal,2007,Teen,Sci-Fi,9.1,13000,United States,Valve,6.95
Disco Elysium,2019,Mature,Drama,9.1,728,Estonia,Za/Um,6.9
The Walking Dead: The Telltale Definitive Series,2019,Not Rated,Thriller,9.1,471,United States,Skybound Entertainment,6.83
BioShock,2007,Mature,Horror,9.1,20000,United States,2K Games,6.82
Fallout 3,2008,Mature,Sci-Fi,9.1,19000,United States,Bethesda Game Studios,6.76
Lego Star Wars: The Skywalker Saga,2022,Everyone10+,Comedy,9.1,1000,United Kingdom,The LEGO Group,6.75
Gothic II,2002,Mature,Fantasy,9.1,763,Germany,Piranha Bytes,6.74
Half-Life 2: Episode Two,2007,Mature,Sci-Fi,9.1,6000,United States,Valve,6.72
Vampire: The Masquerade - Bloodlines,2004,Mature,Fantasy,9.1,1000,United States,Troika Games,6.69
God of War,2005,Mature,Fantasy,9.1,10000,United States,SCEA Santa Monica Studios,6.67
Max Payne 2: The Fall of Max Payne,2003,Mature,Drama,9.1,11000,Finland,Remedy Entertainment,6.65
Metal Gear: Ghost Babel,2000,Everyone,Sci-Fi,9.1,1000,Japan,Konami Computer Entertainment,6.63
Biohazard,2002,Mature,Mystery,9.1,4000,Japan,Capcom Company,6.51
UFO - Enemy Unknown,1994,Not Rated,Thriller,9.1,383,United Kingdom,MicroProse Software Inc.,6.51
Master of Orion II: Battle at Antares,1996,Not Rated,Sci-Fi,9.1,142,United States,MicroProse Software Inc.,6.48
Fainaru fantajî X,2001,Teen,Romance,9.1,7000,Japan,Square Company,6.47
Shenmue,1999,Teen,Crime,9.1,1000,Japan,SEGA/AM2 Company,6.46
Super Metroid,1994,Everyone,Mystery,9.1,2000,Japan,Nintendo,6.43
GoldenEye 007,1997,Teen,Thriller,9.1,5000,United Kingdom,Rare,6.42
Super Mario 64,1996,Adults Only,Comedy,9.1,6000,Japan,Nintendo,6.41
Biohazard 2,1998,Mature,Sci-Fi,9.1,5000,Japan,Capcom Company,6.4
The Curse of Monkey Island,1997,Adults Only,Fantasy,9.1,2000,United States,LucasArts Entertainment Company,6.39
Gabriel Knight: Sins of the Fathers,1993,Teen,Horror,9.1,678,United States,Sierra Entertainment,6.35
Chaos;Child,2014,Not Rated,Sci-Fi,9,16,Japan,Unknown,6.34
Ori and the Will of the Wisps,2020,Everyone,Fantasy,9,1000,Austria,Moon Studios,6.31
Uma Musume: Pretty Derby,2021,Not Rated,Sport,9,5,Japan,Cygames,6.31
Ace Academy,2016,Everyone10+,Comedy,9,5,Canada,PixelFade,6.3
Cyber Danganronpa VR: The Class Trial,2016,Teen,Unknown,9,7,Japan,NIS America,6.27
Assassin's Creed: The Ezio Collection,2016,Mature,Fantasy,9,710,United States,Unknown,6.21
Fairy Fencer F: Advent Dark Force,2016,Teen,Fantasy,9,100,Japan,Compile Heart,6.19
Kingdom Hearts HD 1.5 Remix,2013,Everyone10+,Family,9,818,Japan,Disney Interactive Japan,6.09
Horizon Zero Dawn,2017,Teen,Mystery,9,14000,Netherlands,Guerrilla Games,6.08
Fairy Fencer F,2013,Teen,Fantasy,9,99,Japan,Compile Heart,6.05
Batman: Arkham Knight,2015,Mature,Crime,9,19000,United Kingdom,DC Entertainment,6.03
Zeruda no densetsu: Kaze no takuto HD,2013,Everyone10+,Fantasy,9,1000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),6.03
AI: The Somnium Files - nirvanA Initiative,2022,Mature,Mystery,9,27,Japan,Unknown,5.99
Terminator: Resistance Annihilation Line,2021,Not Rated,Action,9,5,United Kingdom,Reef Entertainment,5.95
Uncharted 3: Drake's Deception,2011,Teen,Fantasy,9,22000,United States,Naughty Dog,5.89
Zenobureido,2010,Teen,Fantasy,9,632,Japan,Monolith Soft,5.82
Doki Doki Literature Club Plus!,2021,Mature,Romance,9,71,United States,Serenity Forge,5.82
Halo 2: Anniversary,2014,Mature,Sci-Fi,9,343,United States,343 Industries,5.8
Postal: Brain Damaged,2022,Mature,Comedy,9,6,United States,CreativeForge Games,5.78
Granny Smith,2012,Everyone,Comedy,9,7,United States,Mediocre AB,5.74
Kimi to Kanojo to Kanojo no Koi,2013,Not Rated,Romance,9,10,Japan,Unknown,5.74
Final Fantasy Chronicles,2001,Teen,Comedy,9,6,Japan,Toei Animation,5.66
Imscared - A Pixelated Nightmare,2016,Not Rated,Thriller,9,13,United States,Ivan Zanotti's MyMadnessWorks,5.64
The Great Ace Attorney Chronicles,2021,Teen,Drama,9,73,Japan,Capcom Company,5.64
Gothic II: Die Nacht des Raben,2003,Not Rated,Fantasy,9,387,Germany,Piranha Bytes,5.58
Wallace & Gromit: The Big Fix Up,2020,Not Rated,Mystery,9,13,United Kingdom,Aardman Animations,5.55
Hoshi no kâbî: Urutora sûpâ derakkusu,2008,Everyone,Action,9,427,Japan,HAL Laboratory,5.55
Ratchet & Clank: Rift Apart,2021,Everyone10+,Comedy,9,1000,United States,Insomniac Games,5.54
Persona 3 FES,2007,Mature,Fantasy,9,688,Japan,Atlus,5.49
Call of Duty 4: Modern Warfare,2007,Mature,Thriller,9,22000,United States,Infinity Ward,5.49
Final Fantasy XIV: Shadowbringers,2019,Teen,Fantasy,9,161,Japan,Square Enix Company,5.48
Super Mario Galaxy,2007,Everyone,Family,9,5000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),5.48
Championship Manager 2001/02,2001,Not Rated,Sport,9,192,United Kingdom,Eidos Interactive,5.47
Mother 3,2006,Teen,Drama,9,457,Japan,Brownie Brown,5.46
Little Big Adventure 2,1997,Not Rated,Adventure,9,214,France,Adeline Software,5.45
The Elder Scrolls IV: Oblivion,2006,Teen,Fantasy,9,12000,United States,Bethesda Game Studios,5.42
Zeruda no densetsu Towairaito purinsesu,2006,Teen,Fantasy,9,5000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),5.41
Paper Mario RPG,2004,Everyone,Fantasy,9,1000,Japan,Intelligent Systems,5.4
Heroes of Might and Magic III: The Restoration of Erathia,1999,Not Rated,Fantasy,9,1000,United States,New World Computing,5.39
Metal Gear Solid 2: Substance,2002,Mature,Drama,9,2000,Japan,Konami Computer Entertainment,5.34
Zeruda no densetsu: Kaze no takuto,2002,Everyone,Fantasy,9,3000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),5.34
Gensô suikoden II,1998,Teen,Drama,9,424,Japan,Konami Computer Entertainment,5.31
StarCraft: Brood War,1998,Teen,Sci-Fi,9,2000,United States,Blizzard Entertainment,5.3
Dai-Rantô Smash Brothers Deluxe,2001,Teen,Sci-Fi,9,3000,Japan,GameCube,5.3
Diablo II: Lord of Destruction,2001,Mature,Fantasy,9,2000,United States,Blizzard Entertainment,5.29
Shenmue II,2001,Teen,Crime,9,853,Japan,SEGA/AM2 Company,5.29
Baldur's Gate II: Throne of Bhaal,2001,Not Rated,Fantasy,9,1000,Canada,Bioware,5.29
Zeruda no densetsu: Mujura no kamen,2000,Everyone,Family,9,3000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),5.28
Diablo II,2000,Mature,Fantasy,9,4000,United States,Blizzard Entertainment,5.27
Metal Gear Solid 2: Sons of Liberty,2001,Mature,Drama,9,8000,Japan,Konami Computer Entertainment,5.27
Indiana Jones and the Fate of Atlantis,1992,Not Rated,Fantasy,9,1000,United States,LucasArts Entertainment Company,5.24
Jagged Alliance 2,1999,Not Rated,Action,9,302,Canada,Sir-Tech,5.23
Sûpâ Mario korekushon,1993,Not Rated,Family,9,1000,Japan,Nintendo,5.21
The Longest Journey,1999,Mature,Fantasy,9,1000,Norway,Funcom,5.2
The Neverhood,1996,Teen,Mystery,9,573,United States,DreamWorks Interactive,5.19
Final Fantasy VI,1994,Teen,Fantasy,9,2000,Japan,Square Company,5.19
Day of the Tentacle,1993,Not Rated,Sci-Fi,9,1000,United States,LucasArts Entertainment Company,5.17
Silent Hill,1999,Mature,Mystery,9,5000,Japan,Konami Computer Entertainment,5.17
The Beast Within: A Gabriel Knight Mystery,1995,Mature,Horror,9,776,Canada,Sierra Entertainment,5.15
Hades,2018,Teen,Fantasy,8.9,1000,United States,Supergiant Games,5.13
Faiâ emuburemu: Fuuka setsugetsu,2019,Teen,Fantasy,8.9,694,Japan,Intelligent Systems,5.13
The Legend of Zelda: Majora's Mask 3D,2015,Everyone10+,Fantasy,8.9,726,Japan,Grezzo,5.12
Kurobara no warukyûre,2016,Teen,Action,8.9,19,Japan,Compile Heart,5.12
Der Eisendrache,2016,Not Rated,Horror,8.9,235,United States,Treyarch Invention,5.1
Deep Sleep,2012,Not Rated,Mystery,8.9,14,Poland,Unknown,5.09
Super Smash Bros. Ultimate,2018,Everyone10+,Fantasy,8.9,3000,Japan,Bandai Namco Entertainment,5.09
Life Is Strange,2015,Mature,Sci-Fi,8.9,12000,France,Dontnod Entertainment,5.08
Halo: The Master Chief Collection,2014,Mature,Sci-Fi,8.9,2000,United States,343 Industries,5.07
Ryû ga gotoku Zero: Chikai no basho,2015,Mature,Drama,8.9,1000,Japan,Ryu Ga Gotoku Studio,5.07
Tales from the Borderlands: A Telltale Games Series,2014,Mature,Sci-Fi,8.9,3000,United States,Gearbox Software,5.06
The Last of Us: Left Behind,2014,Mature,Drama,8.9,9000,United States,Naughty Dog,5.05
The Wolf Among Us,2013,Mature,Drama,8.9,7000,United States,DC Entertainment,5.03
Black Sails: Das Geisterschiff,2010,Not Rated,Adventure,8.9,79,Germany,Deck 13 Interactive,5.02
Parodius: Tako wa Chikyû o Sukuu,1988,Not Rated,Family,8.9,55,Japan,Konami Industries,5.01
Growlanser: Wayfarer of Time,2003,Teen,Drama,8.9,23,Japan,Career Soft,5
Far Cry 3,2012,Mature,Adventure,8.9,19000,Canada,Ubisoft Massive Studio,4.98
South Park: The Stick of Truth,2014,Mature,Comedy,8.9,4000,United States,345 Games,4.98
Destiny 2: The Witch Queen,2022,Teen,Action,8.9,102,United States,Bungie Studios,4.94
Achtung Banditen?!,2022,Not Rated,History,8.9,31,Italy,RedMagicBlue,4.93
Fallout: New Vegas,2010,Mature,Sci-Fi,8.9,12000,United States,Obsidian Entertainment,4.93
Super Mario Galaxy 2,2010,Everyone,Family,8.9,2000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),4.92
Rogue Legacy 2,2022,Everyone10+,Adventure,8.9,7,Canada,Cellar Door Games,4.91
Death Stranding Director's Cut,2021,Mature,Drama,8.9,270,Japan,Kojima Productions,4.88
Mass Effect 2: Lair of the Shadow Broker,2010,Mature,Sci-Fi,8.9,68,Canada,Bioware,4.87
Cuphead: The Delicious Last Course,2022,Everyone10+,Adventure,8.9,110,Canada,Studio MDHR,4.85
Age of Empires II: Definitive Edition,2019,Not Rated,Adventure,8.9,110,United States,Forgotten Empires,4.85
Dark Souls III: The Ringed City,2017,Not Rated,Fantasy,8.9,287,Japan,From Software,4.82
Cookie Run: Ovenbreak,2016,Everyone,Adventure,8.9,9,South Korea,Devsisters,4.8
Blaseball,2020,Not Rated,Sport,8.9,9,United States,The Game Band,4.8
Metal Gear Solid: The Legacy Collection,2013,Not Rated,Unknown,8.9,34,Japan,Unknown,4.79
Metroid Prime: Trilogy,2009,Teen,Mystery,8.9,35,Japan,Unknown,4.76
Dark Souls Trilogy,2018,Mature,Fantasy,8.9,95,Japan,Unknown,4.73
Forza Horizon 4: Best of Bond,2018,Not Rated,Adventure,8.9,16,United Kingdom,Microsoft Studios,4.73
Boneworks,2019,Mature,Sci-Fi,8.9,79,United States,Stress Level Zero,4.7
ZS Dead Detective - Pumpkin Dead,2019,Not Rated,Mystery,8.9,7,Italy,Armor Games,4.68
Sherlock: The Network,2014,Not Rated,Crime,8.9,101,United Kingdom,The Project Factory,4.67
The Stanley Parable: Ultra Deluxe,2022,Not Rated,Fantasy,8.9,166,United States,Crows Crows Crows,4.63
Persona 3,2006,Mature,Fantasy,8.9,787,Japan,Atlus,4.62
Gothic,2001,Not Rated,Fantasy,8.9,770,Germany,Piranha Bytes,4.62
Grand Theft Auto IV,2008,Mature,Drama,8.9,34000,United Kingdom,Rockstar North,4.62
The Warriors,2005,Mature,Thriller,8.9,1000,Canada,Rockstar Toronto,4.61
Star Wars: Knights of the Old Republic II - The Sith Lords,2004,Teen,Drama,8.9,5000,United States,Obsidian Entertainment,4.61
Quest for Glory I: So You Want to Be a Hero,1989,Not Rated,Fantasy,8.9,116,United States,Sierra Entertainment,4.6
Warcraft III: The Frozen Throne,2003,Not Rated,Fantasy,8.9,3000,United States,Unknown,4.6
Metal Gear Solid: The Twin Snakes,2004,Mature,Drama,8.9,1000,Japan,Silicon Knights,4.57
Eternal Darkness: Sanity's Requiem,2002,Mature,Horror,8.9,785,Canada,Nintendo,4.54
Metroid Prime,2002,Teen,Mystery,8.9,2000,United States,GameCube,4.53
System Shock 2,1999,Mature,Horror,8.9,1000,United States,Irrational Games,4.53
Arcanum: Of Steamworks and Magick Obscura,2001,Mature,Fantasy,8.9,404,United States,Unknown,4.53
Warcraft III: Reign of Chaos,2002,Not Rated,Fantasy,8.9,3000,United States,Blizzard Entertainment,4.51
Tenchi souzou,1995,Not Rated,Fantasy,8.9,215,United Kingdom,Enix,4.5
Xenogears,1998,Teen,Fantasy,8.9,648,Japan,Square Company,4.49
Poketto monsutâ aka,1996,Everyone,Family,8.9,2000,Japan,Creatures,4.48
Broken Sword: The Shadow of the Templars,1996,Not Rated,Romance,8.9,1000,United Kingdom,Revolution Software,4.47
Mother 2: Gîgu no gyakushuu,1994,Teen,Fantasy,8.9,1000,Japan,Ape,4.47
Civilization II,1996,Not Rated,History,8.9,924,United States,AWE Games,4.45
Bio Hazard,1996,Mature,Mystery,8.9,5000,Japan,Capcom Company,4.42
Super Mario Bros.,1985,Not Rated,Fantasy,8.9,6000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),4.41
Titanic: Adventure Out of Time,1996,Teen,Mystery,8.9,307,United States,Cyberflix Inc.,4.39
The Pandora Directive,1996,Not Rated,Comedy,8.9,267,United States,Access Software Inc.,4.39
Baldur's Gate,1998,Teen,Fantasy,8.9,1000,United States,Bioware,4.38
Freelancer,2003,Not Rated,Mystery,8.9,519,Canada,Digital Anvil,4.38
Blade Runner,1997,Teen,Thriller,8.9,1000,United States,Westwood Studios Inc.,4.37
Kirby's Extra Epic Yarn,2019,Everyone,Adventure,8.8,104,Japan,Good-Feel Co.,4.37
World Cricket Championship 2,2015,Not Rated,Sport,8.8,6,India,Nextwave Multimedia,4.36
Nehrim: At Fate's Edge,2010,Not Rated,Fantasy,8.8,8,Germany,Unknown,4.35
D.I.R.T.: Origin of the Species,2006,Not Rated,Fantasy,8.8,7,United States,Generation Gamers Game,4.34
The Legend of Heroes: Trails of Cold Steel IV,2018,Not Rated,Fantasy,8.8,43,Japan,Nihon Falcom Corporation,4.33
Sekiro: Shadows Die Twice,2019,Mature,Fantasy,8.8,3000,Japan,From Software,4.32
Highway Blossoms,2018,Not Rated,Romance,8.8,19,United States,Studio Coattails,4.31
Gintama ranbu,2018,Not Rated,Unknown,8.8,13,Japan,Unknown,4.28
Hollow Knight,2017,Everyone10+,Fantasy,8.8,2000,Australia,Team Cherry,4.27
Horizon Zero Dawn: The Frozen Wilds,2017,Teen,Mystery,8.8,1000,Netherlands,Guerrilla Games,4.24
Divinity: Original Sin II,2017,Mature,Fantasy,8.8,749,Belgium,Larian Studios,4.24
Umineko When They Cry,2007,Not Rated,Mystery,8.8,92,Japan,07th Expansion,4.23
Zombies Chronicles,2017,Not Rated,Action,8.8,166,United States,Treyarch Invention,4.22
The Walking Dead: The Final Season,2018,Mature,Sci-Fi,8.8,2000,United States,Telltale Games,4.22
Shining the Holy Ark,1996,Adults Only,Action,8.8,7,Japan,Sonic! Software Planning,4.21
Enderal: The Shards of Order,2016,Not Rated,Fantasy,8.8,261,Germany,Unknown,4.21
Death Stranding,2019,Mature,Drama,8.8,8000,Japan,Kojima Productions,4.21
Valkyria Chronicles 3: Unrecorded Chronicles,2011,Not Rated,Drama,8.8,33,Japan,Unknown,4.2
Toaru majutsu to kagaku no pazudekkusu,2014,Not Rated,Action,8.8,5,Japan,Heroz,4.2
Lost Within,2015,Not Rated,Horror,8.8,6,United States,Amazon Game Studios,4.19
The Legend of Zelda: Twilight Princess HD,2016,Teen,Fantasy,8.8,577,Australia,Nintendo Entertainment Planning & Development (EPD),4.18
Psychonauts 2,2021,Teen,Comedy,8.8,601,United States,Double Fine Productions Inc.,4.17
Undertale,2015,Everyone10+,Drama,8.8,3000,United States,tobyfox,4.17
NieR: Automata,2017,Mature,Drama,8.8,2000,Japan,Platinum Games,4.16
Inside,2016,Mature,Mystery,8.8,3000,Denmark,Playdead Studios,4.16
Team Umizoomi,2011,Not Rated,Unknown,8.8,5,United States,Unknown,4.14
Fire Emblem: Awakening,2012,Teen,Fantasy,8.8,931,Japan,Intelligent Systems,4.14
NCAA Football 14,2013,Not Rated,Sport,8.8,87,United States,EA Sports,4.12
Zeruda no densetsu: Kamigami no toraifôsu 2,2013,Everyone,Fantasy,8.8,1000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),4.12
Until Dawn,2015,Mature,Thriller,8.8,14000,United Kingdom,Sony Computer Entertainment America,4.11
Kyokugen dasshutsu: adobencha zennin shibo desu,2012,Mature,Sci-Fi,8.8,245,Japan,Spike Chunsoft,4.1
Metal Gear Solid V: The Phantom Pain,2015,Mature,Drama,8.8,7000,Japan,Kojima Productions,4.09
Star Rider,1984,Not Rated,Sport,8.8,8,United States,Computer Creations,4.09
Gyakuten kenji 2,2011,Not Rated,Mystery,8.8,91,Japan,Capcom Company,4.09
A-Cinema,2022,Not Rated,Short,8.8,9,Italy,RedMagicBlue,4.07
Wiedzmin 2: Zabójcy królów,2011,Mature,Drama,8.8,5000,Poland,CD Projekt RED,4.06
BeamNG.drive,2013,Not Rated,Sport,8.8,11,Germany,BeamNG,4.06
Tomb Raider,2013,Mature,Fantasy,8.8,18000,United States,Crystal Dynamics,4.06
Kingdom Hearts: Final Mix,2002,Not Rated,Adventure,8.8,12,Japan,Square Enix Company,4.05
The Apocalypse,2022,Not Rated,Horror,8.8,5,United Kingdom,Unknown,4.05
Bad Ben,2021,Not Rated,Horror,8.8,6,United States,Unknown,4.05
Yuppie Psycho,2019,Mature,Horror,8.8,5,France,Baroque Decay Games,4.05
Dead Space 2,2011,Mature,Sci-Fi,8.8,6000,United States,Visceral Games,4.03
Shining Force III,1997,Not Rated,Fantasy,8.8,5,Japan,Camelot Software Planning,4.01
Debiru samunâ: Kuzunoha Raidou tai Abadon'ou,2008,Mature,Fantasy,8.8,51,Japan,Atlus,4
Poketto monsutâ Sourushirubâ,2009,Everyone,Family,8.8,832,Japan,Creatures,3.99
Poketto monsutâ Hâtogôrudo,2009,Everyone,Family,8.8,868,Japan,Creatures,3.98
Heavy Rain,2010,Mature,Mystery,8.8,13000,France,Quantic Dream,3.97
Mortal Kombat 11: Ultimate,2020,Mature,Fantasy,8.8,66,United States,NetherRealm Studios,3.95
Metroid Dread,2021,Teen,Mystery,8.8,450,Japan,MercurySteam,3.95
Marvel's Guardians of the Galaxy,2021,Teen,Comedy,8.8,3000,Canada,Eidos Montreal,3.94
Ultrakill,2020,Mature,Fantasy,8.8,40,United States,Arsi Hakita Patala,3.92
Heroes of Might and Magic III: The Shadow of Death,2000,Not Rated,Fantasy,8.8,596,United States,New World Computing,3.92
Heroes of Might and Magic III: Armageddon's Blade,1999,Not Rated,Fantasy,8.8,590,United States,New World Computing,3.92
Call of Duty: Modern Warfare 2,2009,Mature,Thriller,8.8,23000,United States,Activision Blizzard,3.91
Final Fantasy XIV: Endwalker,2021,Teen,Fantasy,8.8,106,Japan,Square Enix Company,3.91
Kingudamu hâtsu: Bâsu bai surîpu,2010,Everyone10+,Family,8.8,1000,Japan,Disney Interactive Japan,3.91
Kimi ga Shine: Tasuketsu Death Game,2017,Not Rated,Mystery,8.8,31,Japan,Nankidai,3.9
Toca Life: World,2021,Mature,Animation,8.8,284,United States,Macpherson Pictures,3.9
Degrees of Lewdity,2020,Not Rated,Unknown,8.8,24,Unknown,Unknown,3.87
Dead Space,2008,Mature,Mystery,8.8,9000,United States,Electronic Arts (EA) Redwood Shores,3.87
Monkey Island 2: LeChuck's Revenge - Special Edition,2010,Not Rated,Fantasy,8.8,48,United States,LucasArts Entertainment Company,3.87
Densetsu no sutafî: Taiketsu! Daîru kaizokudan,2008,Everyone,Fantasy,8.8,20,Japan,Tose,3.85
The Lighthouse Map,2020,Not Rated,Thriller,8.8,9,Saudi Arabia,FarCry Arab,3.85
Stray,2022,Everyone10+,Sci-Fi,8.8,722,France,BlueTwelve Studio,3.84
World of Warcraft: Wrath of the Lich King,2008,Teen,Fantasy,8.8,2000,United States,Blizzard Entertainment,3.83
Quern - Undying Thoughts,2016,Not Rated,Adventure,8.8,5,Hungary,Zadbox Entertainment,3.83
Kimetsu no Yaiba: Hinokami Keppuutan,2021,Teen,Fantasy,8.8,795,Japan,Aniplex,3.83
Kamaitachi no yoru,1994,Not Rated,Adventure,8.8,11,Japan,Chun Soft,3.79
Raburaibu! Sukûru aidoru festibaru: Ôru sutâzu,2019,Not Rated,Music,8.8,15,Japan,Bushiroad,3.77
Medieval II: Total War,2006,Not Rated,War,8.8,1000,United States,Creative Assembly,3.77
Albedo,2019,Not Rated,Horror,8.8,12,Spain,Apestudio,3.76
Inazuma Irebun GO: Dark,2011,Not Rated,Sport,8.8,6,Japan,Level-5,3.76
Inazuma Irebun GO: Shine,2011,Not Rated,Sport,8.8,10,Japan,Level-5,3.74
Inazuma Irebun 2: Kyoui no Shinryakusha: Blizzard,2009,Not Rated,Sport,8.8,14,Japan,Level-5,3.73
StarCraft II: Wings of Liberty,2010,Teen,Sci-Fi,8.8,3000,United States,Blizzard Entertainment,3.72
The Godfather: The Don's Edition,2007,Not Rated,Drama,8.8,311,United States,Electronic Arts (EA),3.72
ArmA 3: Apex,2016,Not Rated,Action,8.8,14,United States,Bohemia Interactive Studio,3.72
Okami,2006,Teen,Fantasy,8.8,1000,Japan,Clover Studio Company,3.72
Half-Life 2: Episode One,2006,Mature,Sci-Fi,8.8,5000,United States,Valve,3.71
Halo 3,2007,Mature,Sci-Fi,8.8,12000,United States,Bungie Software,3.7
Star Wars: Battlefront II,2005,Teen,Sci-Fi,8.8,6000,United States,LucasArts Entertainment Company,3.7
Growlanser III: The Dual Darkness,2001,Not Rated,Drama,8.8,33,Japan,Career Soft,3.67
Growlanser II: The Sense of Justice,2001,Teen,Drama,8.8,40,Japan,Career Soft,3.67
Doragon kuesuto VIII: Sora no daichi to norowareshi himegimi,2004,Teen,Drama,8.8,711,Japan,Armor Project,3.66
Ratchet & Clank: Up Your Arsenal,2004,Teen,Comedy,8.8,1000,United States,Insomniac Games,3.65
Hitman: Blood Money,2006,Mature,Mystery,8.8,5000,Denmark,Eidos Interactive,3.65
Master of Magic,1994,Not Rated,Unknown,8.8,52,United States,MicroProse Software Inc.,3.65
Age of Empires II: The Age of Kings,1999,Teen,History,8.8,3000,United States,Ensemble Studios,3.64
Sly 2: Band of Thieves,2004,Everyone,Comedy,8.8,1000,United States,Sucker Punch Productions,3.63
Sanitarium,1998,Teen,Horror,8.8,446,United States,DreamForge Intertainment Inc.,3.63
Eternal Arcadia,2000,Teen,Fantasy,8.8,258,Japan,Overworks,3.62
The Elder Scrolls III: Morrowind,2002,Teen,Fantasy,8.8,3000,United States,Bethesda Game Studios,3.62
Poketto monsutâ kin,1999,Everyone,Fantasy,8.8,1000,Japan,Creatures,3.62
Halo: Combat Evolved,2001,Mature,Mystery,8.8,11000,United States,Gearbox Software,3.61
Thief: The Dark Project,1998,Mature,Fantasy,8.8,679,United States,Looking Glass Studios,3.61
Civilization,1991,Not Rated,History,8.8,703,United States,MicroProse Software Inc.,3.61
Conker's Bad Fur Day,2001,Mature,Comedy,8.8,1000,United Kingdom,Nintendo,3.61
Undying,2001,Mature,Mystery,8.8,922,United States,DreamWorks Interactive,3.6
The Operative: No One Lives Forever,2000,Teen,Comedy,8.8,629,United States,Monolith Productions,3.59
Snatcher CD-ROMantic,1992,Not Rated,Sci-Fi,8.8,154,Japan,Konami,3.59
Fainaru fantajî IX,2000,Teen,Fantasy,8.8,4000,Japan,Square Company,3.58
Thief II: The Metal Age,2000,Mature,Fantasy,8.8,495,United States,Looking Glass Studios,3.58
Poketto monsutâ gin,1999,Everyone,Fantasy,8.8,1000,Japan,Creatures,3.56
Quest for Glory IV: Shadows of Darkness,1994,Not Rated,Fantasy,8.8,200,Canada,Sierra Entertainment,3.56
Sam and Max Hit the Road,1993,Teen,Mystery,8.8,1000,United States,LucasArts Entertainment Company,3.56
Crash Bandicoot: Warped,1998,Everyone,Comedy,8.8,2000,United States,Naughty Dog,3.54
Freespace,1998,Not Rated,Sci-Fi,8.8,131,United States,Unknown,3.54
The Last Express,1997,Teen,Mystery,8.8,253,United States,Outpost Studios,3.54
Wing Commander IV: The Price of Freedom,1995,Not Rated,Sci-Fi,8.8,774,United States,Origin Systems,3.53
Wing Commander III: Heart of the Tiger,1994,Teen,Sci-Fi,8.8,792,United States,Origin Systems,3.53
Steins;Gate Elite,2018,Not Rated,Romance,8.7,114,Japan,5pb.,3.52
